Vlast,Jméno,ID hráče,Specialita,Zranění ,Na přestupové listině,Věk,dní,TSI,Zkušenost,Vůdcovství,Forma,Kondice,Chytání,Bránění,Tvorba hry,Křídlo,Přihrávky,Zakončování,Standardky,Zápasy za Národní tým,Zápasy za NT U21,Hráč národního týmu!
Česká republika,Karel Kačena,455863712,Technický,,,21,32,77970,4,2,7,7,2,15,4,5,3,4,1,0,0,0
Česká republika,Karel Martinek,458220742,,,,20,39,78810,3,5,7,7,1,4,15,5,7,5,4,0,0,0
Česká republika,Karel 'Charlie' Vejsada,458177388,Technický,,,20,41,42270,3,2,3,7,1,5,2,5,6,15,1,0,0,0
Česká republika,Kryštof Pexa,457484027,Rychlý,,,20,66,85350,4,4,5,7,1,5,9,16,6,4,4,0,0,0
Česká republika,Ladislav Řeřucha,455713111,,,,21,40,78350,4,1,7,7,1,11,13,4,4,5,3,0,0,0
Česká republika,Luboš Lehner,456605040,,,,20,110,90750,4,5,7,8,17,4,1,1,1,1,15,0,0,0
Česká republika,Luděk Houfek,455293951,,,,21,58,148550,7,4,6,8,1,4,16,8,7,6,2,0,10,1
Česká republika,Ludvík Bula,456562646,Technický,,,21,14,50250,2,4,4,7,1,14,5,2,8,5,5,0,0,0
Česká republika,Lukáš Souhrada,457702285,Silový,,,20,62,66990,3,4,7,7,1,3,10,3,4,14,3,0,0,0
Česká republika,Marcel Juřík,456055875,Technický,,,21,33,123930,6,6,7,8,1,4,4,12,7,14,1,0,11,1
Česká republika,Marcel Vorlík,456140608,,,,21,27,45760,4,2,8,8,1,13,5,7,3,4,16,0,4,1
Česká republika,Martin Kirsch,456959070,Silový,,,20,81,58800,3,3,7,7,2,4,9,5,6,13,4,0,0,0
Česká republika,Martin 'Ďábel' Příkazský,456743517,,,,21,52,95770,3,4,7,8,17,4,3,1,1,1,4,0,0,0
Česká republika,Martin Sova,455485277,Silový,,,21,52,89580,7,4,6,8,1,14,10,3,6,5,1,0,7,0
Česká republika,Michael Kalkus,455628886,Rychlý,,,21,45,116780,4,4,6,8,1,4,5,17,9,3,2,0,1,0
Česká republika,Michal Hejna,456844764,Rychlý,,,20,90,65730,3,4,8,7,1,13,4,11,6,5,4,0,0,0
Česká republika,Michal Konečný,455824955,Technický,,,21,33,110090,4,4,7,8,2,6,16,4,6,3,3,0,0,0
Česká republika,Michal Kotala,457828773,,,,20,58,60940,3,6,7,7,1,13,5,11,6,2,1,0,0,0
Česká republika,Michal Nezdařil,455631204,Hlavičkář,,,21,45,106630,4,4,6,8,1,3,6,16,10,4,1,0,0,0
Česká republika,Michal Teplý,456158190,Silový,,,21,8,98980,3,3,7,7,1,8,15,5,6,4,1,0,0,0
Česká republika,Milan Dostál,456898064,Technický,,,20,89,58970,4,6,8,7,1,13,9,5,5,3,1,0,0,0
Česká republika,Milan Němec,455628029,Silový,,,21,44,102260,4,5,7,8,1,3,9,6,5,15,2,0,0,0
Česká republika,Miloš Süsser,455889117,Hlavičkář,,,21,25,84790,4,4,7,7,1,4,15,6,5,5,3,0,0,0
Česká republika,Miloš Zeman,457103642,,,,20,69,54800,3,6,7,7,1,13,4,6,9,4,2,0,0,0
Česká republika,Miloslav Tichý,455402242,Nepředvídatelný,,,21,56,76620,5,1,6,8,1,13,7,11,6,4,2,0,1,0
Česká republika,Miroslav Drábek,455292334,Nepředvídatelný,,,21,58,150180,4,5,6,8,1,5,8,17,10,3,2,0,1,0
Česká republika,Mojmír 'Beren' Bernard,456961729,Rychlý,,,20,81,77200,4,4,7,7,1,5,4,7,9,14,1,0,0,0
Česká republika,Nemanja Starý,456826228,Silový,,,20,91,91530,4,2,8,7,1,6,15,4,6,6,6,0,0,0
Česká republika,Ondřej Peštál,456982260,Nepředvídatelný,,,20,79,84400,5,5,7,7,2,4,2,11,6,14,4,0,0,0
Česká republika,Ondřej Sommer,455654243,,,,21,44,71080,3,2,5,8,17,5,1,1,1,1,15,0,0,0
Česká republika,Oskar Píža,457141242,Technický,,,20,67,73400,4,4,7,7,1,4,5,3,9,14,1,0,0,0
Česká republika,Otakar Kadidlo,458125790,Nepředvídatelný,,,20,45,46970,3,2,7,7,1,14,4,7,3,3,8,0,0,0
Česká republika,Oto Bican,455618774,Silový,,,21,45,95790,5,3,6,7,1,2,11,3,4,15,4,0,0,0
Česká republika,Patrik Švancar,454713984,Rychlý,,,21,74,84120,5,4,6,7,1,15,9,4,4,3,4,0,0,0
Česká republika,Pavel Haller,456916708,,,,20,84,65460,4,3,7,7,1,13,5,11,6,5,5,0,0,0
Česká republika,Petr Bochníček,457116588,Rychlý,,,20,80,50750,4,2,8,7,1,13,9,5,5,4,4,0,0,0
Česká republika,Petr Křičenský,455511612,Nepředvídatelný,,,21,53,78330,5,2,8,8,2,14,2,11,4,4,3,0,0,0
Česká republika,Petr Slíž,455567204,Nepředvídatelný,,,21,48,100450,5,6,7,8,1,4,5,13,5,13,4,0,0,0
Česká republika,Petr Vaníček,455109000,Rychlý,,,21,87,140090,4,5,7,7,1,2,7,18,5,4,2,0,0,0
Česká republika,Přemysl Mlejnek,458174011,,,,20,41,82460,4,4,6,7,1,5,15,4,5,5,6,0,0,0
Česká republika,Radim Kocina,454780883,Hlavičkář,,,21,77,76260,4,3,7,7,1,15,3,6,7,4,2,0,0,0
Česká republika,Radim Krákora,456900700,,,,20,86,35810,3,4,5,7,1,13,6,5,8,6,1,0,0,0
Česká republika,Radim Trkovský,455557461,Silový,,,21,49,120620,5,2,8,8,2,3,16,4,5,3,6,0,0,0
Česká republika,Radomír Moulis,455657002,,,,21,52,83220,3,5,5,8,17,5,1,3,1,1,15,0,1,1
Česká republika,Radoslav Fojtík,455439942,Nepředvídatelný,,,21,54,76110,4,4,6,7,2,4,15,4,7,6,4,0,0,0
Česká republika,Radovan Laci,456788514,,,,20,96,89800,4,2,8,7,17,6,2,2,1,1,12,0,0,0
Česká republika,Robert Gujda,457025653,Rychlý,,,20,82,88310,3,3,8,7,1,6,12,14,3,5,2,0,0,0
Česká republika,Robin Soural,460371152,Hlavičkář,,,19,47,31620,3,5,5,6,1,3,12,10,7,6,6,0,0,0
Česká republika,Roman Mlýnek,455683618,,,,21,40,130800,5,2,7,8,1,5,16,5,5,6,5,0,0,0
Česká republika,Roman Osvald,455210347,,,,21,66,99380,3,3,7,8,1,4,16,6,3,4,3,0,0,0
Česká republika,Rostislav Charouz,458160784,,,,20,42,56450,4,5,8,6,1,13,10,5,2,4,2,0,0,0
Česká republika,Rostislav Hála,455853759,Nepředvídatelný,1,,21,29,63300,4,6,6,7,1,8,14,2,6,5,2,0,0,0
Česká republika,Rostislav Lovas,455782699,Rychlý,,,21,33,75100,3,4,6,8,1,13,4,11,7,6,6,0,0,0
Česká republika,Stanislav Kulovaný,455682181,Silový,,,21,40,56940,4,5,4,7,1,15,6,4,7,4,4,0,0,0
Česká republika,Stanislav Strolený,455557269,,,,21,48,138580,4,5,8,8,1,5,16,4,3,4,4,0,0,0
Česká republika,Štefan Oblúk,458042834,,,,20,50,63530,4,3,5,7,1,5,13,11,5,7,4,0,0,0
Česká republika,Štěpán Chýlek,456126665,Hlavičkář,,,21,16,113250,4,4,8,8,1,5,11,15,6,4,2,0,1,1
Česká republika,Štěpán Machytka,455563027,Rychlý,,,21,64,92090,5,2,7,8,1,14,10,4,6,4,5,0,0,0
Česká republika,Teodor Ležák,455294398,,,,21,58,88450,8,3,8,8,17,7,1,1,1,1,17,0,15,1
Česká republika,Tomáš Kotásek,458086398,,,,20,62,83660,3,4,7,7,16,3,1,1,1,3,13,0,0,0
Česká republika,Valter Deutsch,457048945,,,,20,74,72470,4,7,4,7,1,6,15,7,7,6,4,0,0,0
Česká republika,Valter Pochobradský,455850034,Nepředvídatelný,,,21,30,80130,3,4,8,8,1,6,14,8,5,4,1,0,0,0
Česká republika,Valter Vyčítal,456717720,,,,20,100,98850,4,5,8,8,1,3,15,6,6,6,2,0,0,0
Česká republika,Vasil 'Diego' Frk,457027274,,,,20,75,98590,4,3,7,7,1,4,15,5,7,7,4,0,0,0
Česká republika,Viktor Záhorský,455536249,Hlavičkář,,,21,50,99210,8,4,8,8,1,14,4,10,7,3,6,0,13,1
Česká republika,Vít Filipovský,455186578,Nepředvídatelný,,,21,63,126130,7,3,7,8,1,4,4,5,9,15,8,0,13,1
Česká republika,Vítězslav Doktor,458207622,Nepředvídatelný,,,20,40,87400,4,5,7,7,1,3,7,16,8,5,1,0,0,0
Česká republika,Vítězslav Sobota,455241122,Nepředvídatelný,,,21,61,98960,6,6,8,8,1,14,10,3,7,3,1,0,10,1
Česká republika,Vladimír Malčík,455521018,Rychlý,,,21,55,101100,4,4,6,7,1,5,14,6,10,6,5,0,0,0
Česká republika,Vlastimil König,456739295,Nepředvídatelný,,,20,99,66510,3,5,4,7,2,5,16,7,5,4,4,0,0,0
Česká republika,Vlastimil Matyska,455394190,Technický,,,21,56,96030,5,4,8,8,1,14,2,10,6,6,4,0,5,1
Česká republika,Vlastimil Zach,457789827,Rychlý,,,20,59,68830,4,1,7,7,1,2,3,10,7,14,2,0,0,0
Česká republika,Vlastislav Líska,456606539,Silový,,,21,50,70400,4,4,6,8,1,14,8,5,7,5,1,0,0,0
Česká republika,Vratislav Henych,455622203,Rychlý,,,21,45,139810,7,4,7,8,2,3,16,2,8,5,2,0,10,1
Česká republika,Vratislav Rojka,455658710,,,,21,45,109070,3,5,7,7,1,4,16,4,7,3,2,0,0,0
Česká republika,Zdeněk 'Thingol' Kašpar,457060089,Technický,,,20,75,49670,3,6,4,7,1,3,4,5,9,14,3,0,0,0
Česká republika,Zdeněk 'Liška' Kraus,455907768,Hlavičkář,,,21,37,77120,4,5,7,8,1,5,8,4,9,14,1,0,0,0
Česká republika,Zdeněk Mikule,456698025,,,,20,108,99790,3,4,7,8,1,4,15,6,6,4,2,0,0,0
Česká republika,Zdeněk Rosol,455543156,Hlavičkář,,,21,49,130740,7,4,6,8,1,5,17,2,5,6,2,0,10,1
