Vlast,Jméno,ID hráče,Specialita,Zranění ,Na přestupové listině,Věk,dní,TSI,Zkušenost,Vůdcovství,Forma,Kondice,Zápasy za Národní tým,Zápasy za NT U21,Hráč národního týmu!
Maroko,Aboubekr Benyoussef,454823626,Nepředvídatelný,,,21,51,62610,3,3,6,8,0,0,0
Maroko,Hocine Soufyani,454361209,,,,21,67,61260,4,4,7,7,0,0,0
Maroko,Addas Kaissi,455588635,Rychlý,,,21,33,58630,3,6,7,8,0,0,0
Maroko,Chahid Yahia,456759038,,,,20,66,58390,4,5,5,7,0,0,0
Maroko,Choukri Zarwali,455627964,Nepředvídatelný,,,21,14,57970,5,6,7,9,0,5,1
Maroko,Abdelmalik Othmani,454643913,,,,21,49,57390,4,6,7,8,0,0,0
Maroko,Abdellatif Fatihi,456995005,Nepředvídatelný,,,20,48,57080,3,5,7,7,0,0,0
Maroko,Mahdi Zehar,458658067,Technický,,,19,104,56910,3,3,8,6,0,0,0
Maroko,Chihabeddine Oukacha,458016896,Nepředvídatelný,,,20,23,56800,2,3,7,7,0,0,0
Maroko,Isli Kadiri,457061242,Nepředvídatelný,,,20,48,56730,3,5,6,7,0,0,0
Maroko,Charaf Brhmat,460037155,,,,19,35,56720,2,4,7,6,0,0,0
Maroko,Samir Bouabid,458216117,,,,20,10,56650,3,6,7,6,0,0,0
Maroko,Azhar Tarji,453280718,Silový,,,21,99,56250,5,6,3,7,0,6,1
Maroko,Choukri Sulami,454302809,Technický,,,21,76,55920,3,5,6,9,0,0,0
Maroko,Aymane Wadi,458459361,Hlavičkář,,,19,107,55540,3,5,8,7,0,0,0
Maroko,Malek Kenbouch,455644040,,,,21,49,55260,3,3,7,8,0,0,0
Maroko,Abdelmoussaouir Hammouch,456614972,Rychlý,,,21,21,53910,4,7,8,8,0,1,1
Maroko,Abdelkabir Berraja,456942165,Silový,,,20,57,53720,3,2,6,8,0,0,0
Maroko,Iklil Aqasby,454593476,Rychlý,,,21,56,53050,3,5,6,7,0,0,0
Maroko,Yighis Oussalah,454710360,Silový,,,21,53,52170,3,4,8,7,0,0,0
Maroko,Abderrachid Zaki,455242470,Technický,,,21,32,51950,4,5,7,8,0,0,0
Maroko,Abdelouahhab Chakara,457037154,,,,20,58,51760,3,2,6,7,0,0,0
Maroko,Abdelmouhy Bahrawi,455735403,,,,21,6,50300,4,3,8,8,0,0,0
Maroko,Ishak Tamim,456769187,Silový,,,20,70,49900,3,4,6,8,0,0,0
Maroko,Chaouqi Masousi,457052218,Nepředvídatelný,,,20,44,49770,4,3,7,7,0,0,0
Maroko,Yassir Habib,456903874,,,,20,55,49430,3,5,7,7,0,0,0
Maroko,Rayane El-Amrani,457118041,Nepředvídatelný,1,,20,39,49270,3,4,7,8,0,0,0
Maroko,Isdur 'Filalosto' Mahfoud Filali,458217730,,,,20,10,49020,3,2,7,6,0,0,0
Maroko,Abdelbatine Darif,458213280,,,,20,50,48690,3,3,8,6,0,0,0
Maroko,Abdelmouqaddim Souëdi,458309999,,,,20,22,48130,2,6,7,7,0,0,0
Maroko,Chaouqi Doukkali,454139054,Rychlý,,,21,84,47440,3,5,3,7,0,0,0
Maroko,Bassam Moulato,458483248,,,,19,103,47360,3,2,8,6,0,0,0
Maroko,Buna Karimi,455845774,,,,21,18,47230,2,3,5,8,0,0,0
Maroko,Asaru 'Homegrown' Tennan,459133903,,,,19,84,47190,2,2,7,7,0,0,0
Maroko,Fayad Bachan,456988685,Nepředvídatelný,,,20,48,46710,3,4,6,7,0,0,0
Maroko,Jihad Hasnawi,455527279,Hlavičkář,,,21,35,46330,4,3,7,7,0,0,0
Maroko,Abderrachid El-Amrani,454625382,Rychlý,,,21,50,45680,4,2,7,8,0,0,0
Maroko,Idris Swiwssi,454545866,Hlavičkář,,,21,56,45230,5,3,8,8,0,5,1
Maroko,Khalid Tamlakouten,453119258,,,,21,111,44980,5,2,5,7,0,12,0
Maroko,Tawfiq Wahid,459402412,,,,19,65,43860,3,1,6,7,0,0,0
Maroko,Amr Jondoli,457542128,Hlavičkář,,,20,36,43310,4,4,6,7,0,0,0
Maroko,Idris Moustedraf,453177689,,,Na přestupové listině,22,1,42350,8,2,6,8,0,18,1
Maroko,Amine Amrani,456718105,Nepředvídatelný,,,20,70,41490,2,2,7,8,0,0,0
Maroko,Idir Zerouali,458031368,,,,20,23,41280,3,2,7,6,0,0,0
Maroko,Abdelmouqaddim Jloun,457679624,Rychlý,,,20,69,41090,3,2,8,7,0,0,0
Maroko,Anir Salouhi,456641717,Silový,,,20,94,40930,3,4,5,7,0,0,0
Maroko,Mayyu Bajedoub,456676895,Nepředvídatelný,,,20,78,39990,3,7,7,8,0,0,0
Maroko,Mounsef Zwake,457943575,,,,20,24,39770,3,4,8,7,0,0,0
Maroko,Adib 'Boris' Frije,452698830,Houževnatý,,,22,24,39020,8,4,6,8,1,27,0
Maroko,Taha Fannane,456173842,Nepředvídatelný,,,20,88,38330,3,6,7,8,0,0,0
Maroko,Faouzi 'PuiPui La Pompe' Zirawi,456749494,Silový,,,20,67,37610,3,6,7,8,0,0,0
Maroko,Abdelmouqtader 'PuiPui La Pompe' Dahmani,456590886,Silový,,,20,80,37440,3,3,7,8,0,0,0
Maroko,Abdelwahid Ben-Aïssa,457086313,Rychlý,,,20,40,36960,4,2,6,6,0,0,0
Maroko,Bekathen Touati,457541363,Nepředvídatelný,,,20,35,36900,4,1,6,7,0,0,0
Maroko,Nadir Boulahrouz,459573513,Nepředvídatelný,,,19,51,35620,3,5,7,7,0,0,0
Maroko,Yassine Saëdawi,456852270,,,,20,66,35260,2,4,7,8,0,0,0
Maroko,Abdelwadoud Zahid,457908566,,,,20,29,35040,3,5,6,7,0,0,0
Maroko,Fouad Khadiri,456601067,,,,20,83,33800,3,5,5,7,0,0,0
Maroko,Abdelraffar Zairi,456673784,Technický,,,20,74,33240,3,3,7,8,0,0,0
Maroko,Fayad 'El Delicioso' Mojahid,456588998,Nepředvídatelný,,,21,17,31770,4,6,6,8,0,0,0
Maroko,Mounir Jawdai,458108432,,,,20,18,30330,2,5,6,6,0,0,0
Maroko,Soufiane Abou-Elaz,456164393,Silový,,,20,89,30230,3,6,8,7,0,0,0
Maroko,Hakim 'Käsekopp' Ziyech,457750803,Nepředvídatelný,,,20,40,30210,4,4,4,7,0,0,0
Maroko,Abdelhalim Guendouz,458483038,,,,19,103,29720,3,5,6,6,0,0,0
Maroko,Abdelkhaliq Ben-Omar,454234137,Hlavičkář,,,21,79,29480,4,4,5,8,0,0,0
Maroko,Abdelmajid Kharbouch,458283623,Hlavičkář,,,20,4,29460,3,3,7,7,0,0,0
Maroko,Charif Chakour,459480256,Hlavičkář,,,19,87,29240,2,6,6,7,0,0,0
Maroko,Abdechakour Boubbou,458384658,,,,19,110,28990,3,1,6,6,0,0,0
Maroko,Suggut Wafa,459424837,Technický,,,19,61,28810,2,6,7,8,0,0,0
Maroko,Abdelwali Khattabi,456822025,Hlavičkář,,,20,63,27730,2,4,6,8,0,0,0
Maroko,Salmane Dahbawi,458659269,Nepředvídatelný,,,19,94,26830,3,5,6,6,0,0,0
Maroko,Lakhdar Baali,459332491,,,,19,68,26730,3,4,8,6,0,0,0
Maroko,Chamseddine Sabri,458381640,Týmový hráč,,,19,110,26660,3,2,7,7,0,0,0
Maroko,Haggi Zahid,459134356,Rychlý,,,19,85,25680,3,6,7,7,0,0,0
Maroko,Amray Fertout,454495723,Silový,,,21,62,25120,4,3,5,8,0,1,1
Maroko,Hichem Tkil,459637432,Rychlý,,,19,46,24520,3,4,8,7,0,0,0
Maroko,Ayyache Aymani,458381331,,,,19,111,23860,3,6,5,6,0,0,0
Maroko,Moussa El-Glaoui,460171060,,,,19,27,23550,2,4,2,6,0,0,0
Maroko,Mourad Najim,460590559,Nepředvídatelný,,,19,0,23150,2,5,7,6,0,0,0
Maroko,Tareq Karami,458258280,Rychlý,,,20,6,23150,3,5,5,7,0,0,0
Maroko,Chouaïb Hotami,459457686,Technický,,,19,78,23130,2,4,6,7,0,0,0
Maroko,Ayyache Gharbawi,458521801,,,,19,102,22860,3,4,5,6,0,0,0
Maroko,Makhloufi Iraqui,458136021,Týmový hráč,,,20,17,22800,3,2,6,6,0,0,0
Maroko,Abdelouassi Zammouri,459700571,Silový,,,19,80,21980,3,5,8,6,0,0,0
Maroko,Safwane Dolami,459399371,Nepředvídatelný,,,19,64,20840,2,4,7,7,0,0,0
Maroko,Belkacem Dokali,459559214,Hlavičkář,,,19,56,20120,2,5,8,7,0,0,0
Maroko,Alaeddine Naji,459603135,Hlavičkář,,,19,49,19410,2,2,7,7,0,0,0
Maroko,Abdessattar Nakhli,461485907,Rychlý,,,18,68,18810,2,6,6,6,0,0,0
Maroko,Badr Hammou,461620197,Technický,,,18,52,18570,3,5,7,7,0,0,0
Maroko,Abdelouahhab Bakkal,461525203,Silový,,,18,63,15080,2,4,7,6,0,0,0
Maroko,Abdelhakim Zraidi,462045056,,,,18,34,14750,3,2,7,6,0,0,0
Maroko,Kamel Iraqui,461678424,Rychlý,,,18,50,12540,3,3,8,6,0,0,0
Maroko,Fadil Ouzini,461653752,Hlavičkář,,,18,50,12290,3,5,7,6,0,0,0
Maroko,Dalila Baali,461589762,Hlavičkář,,,18,67,10720,2,1,7,6,0,0,0
Maroko,Messaoud Wadra,461670347,Hlavičkář,,,18,48,8840,2,5,6,7,0,0,0
Maroko,Gebril Azoulay,461816081,Hlavičkář,,,18,46,5720,2,2,7,6,0,0,0
Maroko,Rami Sebti,462665239,Silový,,,18,2,5610,2,5,5,7,0,0,0
Maroko,Mourad Jwilili,462482306,,,,18,15,5520,2,4,6,6,0,0,0
Maroko,Maarouf Bahrawi,462862988,Nepředvídatelný,,,17,100,5160,2,1,5,5,0,0,0
